,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category
GO:0140253,GO:0140253,cell-cell fusion,15/2052,26/6295,0.00720686785643816,0.0367868991934896,0.0267193717113775,MYMK/ADGRB1/CACNA1H/MYOD1/CD53/CDON/DCSTAMP/TNFSF14/NFATC2/CXCL10/ADAM12/MYOG/WNT1/RIPOR2/GDF15,15,BP
GO:0022600,GO:0022600,digestive system process,18/2052,33/6295,0.00739867598086816,0.0373283475948294,0.027112641093008,FGF10/HAMP/ADRA2A/TLR4/CD36/NOD2/KCNQ1/HRH2/AKR1C1/SOAT2/APOA1/SCARB1/APOA5/CRH/SNX10/WNK4/APOA2/LEP,18,BP
GO:0050672,GO:0050672,negative regulation of lymphocyte proliferation,18/2052,33/6295,0.00739867598086816,0.0373283475948294,0.027112641093008,IDO1/FCGR2B/CTLA4/TNFRSF14/LILRB1/IL10/LILRB2/CD86/LGALS9/HAVCR2/LST1/CD300A/MNDA/PDE5A/ARG1/SFTPD/GPNMB/TGFB1,18,BP
GO:0060537,GO:0060537,muscle tissue development,69/2052,165/6295,0.00740001216824075,0.0373283475948294,0.027112641093008,MSC/MYH11/BMP5/WNT3A/HAMP/MYOD1/EDN1/IGF1/HEY2/SORBS2/KCNAB1/ERBB4/TCF21/TNNI3/VGLL2/WNT2/SEMA3C/RYR2/FOXC1/FGF9/CCM2L/CDON/MEF2C/GJC1/HEYL/LEF1/ARRB2/EFNB2/MYBPC2/HIVEP3/SLC8A1/ANKRD1/BVES/IGFBP5/TBX2/MYOCD/IGSF22/MAPK11/FOXP2/PDGFRB/TBX5/DCN/RARB/HLX/COL11A1/LMOD3/GATA4/DLL4/NKX2-5/KLHL41/FOXL2/NRAP/MIR23A/MAFF/MYOG/CALR/MYO18B/TGFB1/ANKRD33/RBM24/NEURL1/WNT10B/RIPOR2/ENG/ITGA8/TENM4/HAND1/MYH6/P2RX2,69,BP
GO:0006704,GO:0006704,glucocorticoid biosynthetic process,9/2052,13/6295,0.00743367730345784,0.0373283475948294,0.027112641093008,HSD11B1/BMP5/HSD3B2/CACNA1H/DKK3/WNT4/CYP11A1/HSD3B1/CRH,9,BP
GO:0019731,GO:0019731,antibacterial humoral response,9/2052,13/6295,0.00743367730345784,0.0373283475948294,0.027112641093008,CTSG/RNASE6/CAMP/MMP7/SFTPD/HIST1H2BK/HIST1H2BG/LTF/HIST1H2BF,9,BP
GO:2000727,GO:2000727,positive regulation of cardiac muscle cell differentiation,9/2052,13/6295,0.00743367730345784,0.0373283475948294,0.027112641093008,WNT3A/HAMP/EDN1/IGF1/MEF2C/ARRB2/EFNB2/MYOCD/TGFB1,9,BP
GO:2000106,GO:2000106,regulation of leukocyte apoptotic process,23/2052,45/6295,0.00748189772416257,0.0373283475948294,0.027112641093008,IDO1/FCER1G/LILRB1/IL10/KITLG/NOD2/GAS6/LGALS9/RIPK3/CD74/MEF2C/PIK3CD/PIP/GIMAP8/JAK3/ITPKB/BCL6/LGALS16/HSH2D/LGALS13/LGALS14/CCL5/CCR7,23,BP
GO:0030431,GO:0030431,sleep,8/2052,11/6295,0.0075375411870185,0.0373283475948294,0.027112641093008,IL18/PTGDS/PER3/ADORA2A/CACNA1I/CRH/MTNR1B/DRD2,8,BP
GO:0035640,GO:0035640,exploration behavior,8/2052,11/6295,0.0075375411870185,0.0373283475948294,0.027112641093008,GAD1/PENK/LRRK2/APOE/SLC4A10/JPH3/CRH/TNR,8,BP
GO:0097242,GO:0097242,amyloid-beta clearance,8/2052,11/6295,0.0075375411870185,0.0373283475948294,0.027112641093008,ITGB2/MARCO/ITGAM/APOE/MSR1/MYOCD/C3/INSR,8,BP
GO:1902042,GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,8/2052,11/6295,0.0075375411870185,0.0373283475948294,0.027112641093008,BMP5/ICAM1/SCRT2/FAS/HGF/TNFRSF10A/FAIM2/NOS3,8,BP
GO:0071229,GO:0071229,cellular response to acid chemical,40/2052,88/6295,0.00763980416346498,0.0377897455942821,0.0274477675897921,WNT3A/SPAAR/KCNMB1/HAMP/WNT5B/FOLR2/PTGFR/KLF2/EDN1/SESN3/AKR1C3/WNT2/PTGER2/CYBB/PTGER4/PRKAA2/EPHA3/MYB/OR51E2/PDK4/NTRK2/AKR1C1/AKR1C2/PTAFR/WNT9B/PDGFC/RARB/LTK/ZEB1/NFATC4/PTK6/GLRA2/ZNF35/ID3/MYOG/MMP2/NEURL1/WNT10B/PAX2/LEP,40,BP
GO:0016485,GO:0016485,protein processing,49/2052,112/6295,0.00832895616847994,0.0407618526266598,0.0296064935032323,CR1/CLEC3B/C4BPB/C5AR2/C5/CFI/C1QA/C5AR1/C7/ADAMTS2/C1QB/C2/C3AR1/C1R/CTSG/A2M/C1QC/CTSS/CFHR1/LRRK2/SRGN/IFI16/ACE/CASP1/NKD2/PRKACB/PROS1/C1RL/VTN/CPN2/SUSD4/C1S/F12/AEBP1/F3/THBS1/C3/TMEM208/ECE2/RIPK2/CCBE1/C8G/SEC11C/LHB/TMPRSS2/ACP4/CGB3/CGA/CTSE,49,BP
GO:0042737,GO:0042737,drug catabolic process,26/2052,53/6295,0.00910326927819973,0.0439814928499069,0.0319450098171342,CYP1A2/DPYD/HBB/CYP2R1/HBG2/ADA2/SULT1A1/ALDH3B1/DPYS/CUBN/DBH/CYP2E1/SULT1C4/SDS/CHIT1/NPL/CYP2U1/CYP2C18/ACHE/GCAT/MAOA/NT5E/DAO/SULT2A1/HBZ/HBE1,26,BP
GO:0061351,GO:0061351,neural precursor cell proliferation,26/2052,53/6295,0.00910326927819973,0.0439814928499069,0.0319450098171342,WNT3A/C5AR1/FGF13/PTPRZ1/LRRK2/WNT2/VEGFC/CDON/SOX5/GBX2/LEF1/ZEB2/GJC2/ELL3/DLL4/CX3CR1/DAGLA/ID4/ACSL6/CX3CL1/TRIM71/TGFB1/WNT1/EMX2/DRD2/CDH2,26,BP
GO:0002720,GO:0002720,positive regulation of cytokine production involved in immune response,13/2052,22/6295,0.0093493646667595,0.045006389185781,0.032689421190863,IL18/TNFRSF14/FCER1G/TLR4/CD36/NOD2/CD74/NLRP3/SASH3/CD226/IL18R1/IL6/PRKCZ,13,BP
GO:0007405,GO:0007405,neuroblast proliferation,13/2052,22/6295,0.0093493646667595,0.045006389185781,0.032689421190863,WNT3A/FGF13/LRRK2/VEGFC/SOX5/LEF1/CX3CR1/DAGLA/ID4/ACSL6/CX3CL1/TGFB1/DRD2,13,BP
GO:0030501,GO:0030501,positive regulation of bone mineralization,13/2052,22/6295,0.0093493646667595,0.045006389185781,0.032689421190863,KL/BMP6/MEF2C/SLC8A1/TGFB3/ADRB2/FAM20C/WNT4/BMPR1B/NELL1/TGFB1/WNT10B/LTF,13,BP
GO:0060429,GO:0060429,epithelium development,172/2052,456/6295,0.00939622982102583,0.0451344912212281,0.0327824653445465,FGF10/WNT10A/FGF7/TMEM100/PDPN/PROM1/KRTAP26-1/PDE2A/BMP5/FLG/WNT3A/TCF15/EDA/SERPINB5/WNT5B/KRT34/HES7/MCOLN3/CYP1A1/APOLD1/HBEGF/KLF2/EDN1/GDNF/IL10/NFIB/FAT1/ICAM1/FOXD1/PECAM1/HEY2/AKR1C3/BMPER/ERBB4/TCF21/ASTN2/MAF/AREG/CD44/CDX1/SOX18/GJA4/WNT2/SEMA3C/CSF1/RYR2/CES1/FOXC1/NTN4/VEGFC/SEMA3A/PTPRO/MYO5A/SHROOM3/BMP6/CD34/GPR4/PRKACB/MEF2C/REG3G/HEYL/GBX2/COL4A4/NRARP/NKD1/LDB2/RSPO3/SPRY1/TXNIP/LEF1/ARRB2/HRH2/SEMA3E/EFNB2/KLHL3/GDF7/HRNR/ALOX15B/RASIP1/ZEB2/HGF/FOXQ1/LRP6/APCDD1/SCEL/CXCL10/IGFBP5/TNFRSF19/AKR1C1/TBX2/AKR1C2/FOXB1/FOXF2/FOXP2/SLC44A4/JAG1/WNT9B/TBX5/PGR/TDRD7/KRT4/FOXF1/FAM20C/RARB/EDNRA/PRICKLE1/STC1/CCND1/PKP1/ZEB1/HOXA11/GATA4/CCDC40/DLL4/WNT4/NFATC4/PTK6/PODXL/NKX2-5/SLIT2/TBX4/ARHGAP35/ID4/YIPF6/ID3/FOXL2/WHRN/CRYGD/ANXA4/MIR200C/CRB2/KLF15/RHCG/CECR2/MAFF/CA9/SETSIP/ACER1/COL23A1/SPRR2G/TRIM71/TGM2/TGFB1/CASP14/BASP1/PRSS8/CDKN1A/SDC1/WNT1/KRT24/UPK2/EREG/KRTAP5-1/PRR9/WNT10B/KRT27/CLDN3/HES2/RIPOR2/EPCAM/ENG/PAX2/WNK4/INHBA/LAMA1/DHRS9/HOXC13/TMOD1/CDH2/SPDEF/HAND1/EHF,172,BP
GO:0007611,GO:0007611,learning or memory,40/2052,89/6295,0.00959650100301013,0.0459901518656368,0.033403956019705,MUSK/ARC/MAPT/ABCC8/TLR2/FGF13/LILRB2/PTPRZ1/ATP8A1/KCNAB1/ATXN1/DRD1/AFF2/APOE/DBH/MEF2C/HRH2/ADCY3/JPH4/NTRK2/GATM/FOXB1/FOXP2/GPR88/PLCB1/NRXN3/CX3CR1/PRKAR2B/C1QL1/GALR3/PRKCZ/INSR/JPH3/CRH/SHANK1/TNR/NTF4/ITGA8/DRD2/RELN,40,BP
GO:0043087,GO:0043087,regulation of GTPase activity,88/2052,219/6295,0.00981985462490031,0.0470063317585954,0.0341420363929047,CCL13/ALDH1A1/CCL8/PLXNA4/PREX2/CCL2/AGAP2/HTR2B/CCL4/CCL18/ARHGAP15/RANBP3L/ARHGAP25/A2M/RGN/RGS1/ICAM1/PLXNC1/LRRK2/RGS20/GPR65/ARHGAP44/DOCK10/CPEB2/CCL3L3/CCL3L1/NCKAP1L/DOCK2/RGS18/PTPRN2/ARHGDIG/ARHGEF6/CCL3/RGS11/ARHGAP36/ARAP2/ARHGAP6/ARHGAP9/PRKG1/SPRY1/EPHA3/ARRB2/GARNL3/CXCL13/RASIP1/FGD2/CHN1/CD40/NTRK2/RASGRP1/RGS5/BVES/ARHGAP4/FGD5/RASGRP3/RASAL3/TAGAP/CDC42EP2/CCL4L1/ASAP2/ODAM/DOCK4/PLCB1/CCL7/EPHA5/RASAL1/ARAP3/WNT4/SLIT2/RGS9/VAV1/ARHGAP35/ARHGEF10/ADAP1/RASA3/SGSM1/TBC1D30/SIPA1L1/TBC1D26/CX3CL1/BCL6/TBC1D3G/FICD/ARHGAP40/RGS16/CCL5/RAP1GAP/CCR7,88,BP
GO:0034113,GO:0034113,heterotypic cell-cell adhesion,16/2052,29/6295,0.00986828151660101,0.0471295513810083,0.0342315343110648,ITGAD/NFASC/NRCAM/IL10/LILRB2/ITGB2/CD44/PTPRC/CD200R1/MBP/ITGAX/APOA1/CD1D/CD200/CEACAM6/ITGB3,16,BP
GO:0055008,GO:0055008,cardiac muscle tissue morphogenesis,16/2052,29/6295,0.00986828151660101,0.0471295513810083,0.0342315343110648,HEY2/TNNI3/WNT2/RYR2/FOXC1/CCM2L/MYBPC2/ANKRD1/IGSF22/COL11A1/DLL4/NKX2-5/TGFB1/ENG/HAND1/MYH6,16,BP
GO:0006805,GO:0006805,xenobiotic metabolic process,21/2052,41/6295,0.0100876641765056,0.0480667943272717,0.034912280533609,CYP1A2/AOC1/CYP1A1/CYP2R1/SULT1A1/FMO1/CES1/AOC3/CYP2E1/AKR1C1/EPHX2/CYP46A1/CYP2U1/ACSM1/CYP2C18/CDO1/MGST1/CYP1B1/CYP26A1/AADAC/RORC,21,BP
GO:0046717,GO:0046717,acid secretion,21/2052,41/6295,0.0100876641765056,0.0480667943272717,0.034912280533609,SLC22A16/EDN1/PLA2G4A/SYK/KCNQ1/PLA2G5/ACE/HRH2/ABCC3/PLA2G2A/SLC1A7/NTRK2/TNFRSF11A/APBA1/ADORA2A/SLC1A6/SLC6A9/SNX10/DRD2/ABCB11/LEP,21,BP
GO:0061564,GO:0061564,axon development,85/2052,211/6295,0.0102433516408977,0.0487527217272967,0.0354104891233542,NFASC/PLPPR4/PLXNA4/MAPT/SCN1B/WNT3A/APOD/MAG/NRCAM/FGF13/ADGRB1/DOK2/GDNF/PTPRZ1/NFIB/RTN4RL1/MATN2/FOXD1/PLXNC1/SPP1/KLF7/GFRA2/SEMA3C/NTN4/SLIT3/NDN/SEMA3A/PTPRO/ROBO4/APOE/DOK5/DOK6/SEMA6B/MAP6/GBX2/EPHA3/ZSWIM6/SEMA3E/EFNB2/GDF7/PIK3CD/ZEB2/LAMA2/CHN1/MYPN/ROBO3/DSCAML1/NTRK2/ARHGAP4/NTNG1/METRN/SEMA3G/DOK1/FEZ1/CNTN4/SLITRK4/NTNG2/FOXB1/APOA1/NR4A2/EPHA5/NRXN3/CXCR4/SEMA6D/SLIT2/ARHGAP35/DSCAM/BMPR1B/CDH11/NREP/LPAR3/SIPA1L1/GFRA3/GAB2/L1CAM/TUBB3/TNR/RAP1GAP/TRPC5/PAX2/DRD2/KIF5A/SPTA1/CDH2/RELN,85,BP
GO:0098739,GO:0098739,import across plasma membrane,23/2052,46/6295,0.0104276689114853,0.0495165306596815,0.0359652652862897,RAMP3/FOLR2/KCNJ5/KCNJ16/ATP12A/SLC9A9/KCNJ2/ABCC9/TRPM2/SLC8A1/FXYD2/SLC12A2/KCNJ10/HCN4/CACNA2D1/SLC3A2/SLC1A6/HCN2/SLC12A3/SLC7A2/KCNJ6/SLC9A2/SLC39A8,23,BP
GO:0046887,GO:0046887,positive regulation of hormone secretion,25/2052,51/6295,0.0105615955112048,0.0497500984330391,0.0361349122066054,SLC30A8/DOC2B/EDN1/SPP1/BMP6/GPER1/GPR27/FFAR1/MYB/P2RY1/GPR68/GCK/CD38/NNAT/FOXL2/ADORA2A/CYP19A1/KISS1/CRH/TFR2/ANO1/DRD2/INHBA/INHA/LEP,25,BP
GO:0072089,GO:0072089,stem cell proliferation,25/2052,51/6295,0.0105615955112048,0.0497500984330391,0.0361349122066054,WNT3A/FGF13/KITLG/LRRK2/SOX18/PTPRC/VEGFC/ACE/CD34/SOX5/LEF1/CX3CR1/DAGLA/ID4/ACSL6/CX3CL1/TRIM71/TGFB1/WNT1/ABCB1/TERT/WNT10B/EPCAM/DRD2/HMGA2,25,BP
GO:0009584,GO:0009584,detection of visible light,12/2052,20/6295,0.0105965913629939,0.0497500984330391,0.0361349122066054,RP1/CACNA2D4/BEST1/PDE6B/GPR88/PDE6G/PDE6C/CALM1/RHO/NMT2/GNGT1/GUCA1A,12,BP
GO:0009986,GO:0009986,cell surface,203/2183,375/6642,2.01256143203886e-18,9.49928995922343e-16,7.92313658507931e-16,FGF10/CDH19/CR1/IL12RB2/RAMP3/STAB2/HLA-F/TGFA/SLAMF1/ITGAD/OTOA/PROM1/CD28/TLR8/FCGR2B/CTLA4/TNFRSF14/WNT3A/CDH15/CD22/ADTRP/CLSTN2/TLR2/WNT5B/C5AR1/FOLR2/KCNJ5/NRCAM/FCER1G/LILRB1/KCNQ3/CDH6/HBEGF/LPL/HLA-A/CTSG/FGFBP1/CD163L1/PKD1L3/LILRB2/MICB/IL12RB1/HLA-B/TSPAN33/RTN4RL1/IL1RL1/ICAM1/TNFSF18/IGSF21/PECAM1/CD163/TLR4/CD36/ALPP/GFRA2/AREG/FCRL6/FAS/ITGB2/CD44/CD86/NOD2/TYROBP/HCST/CD14/SCUBE2/ITGAM/WNT2/PTPRC/CD33/ASTN1/KCNH2/CD4/CD200R1/HLA-DPA1/AOC3/CD93/LPAR1/NRROS/CUBN/PLA2G5/SIGLEC11/CD74/CCR9/MBP/ADGRE1/HLA-DMA/ACE/HLA-DPB1/HAVCR2/CD34/HLA-DRA/ITGBL1/MRC1/PTPRT/ANTXR1/HLA-DRB1/P2RY12/DCSTAMP/LAYN/ITGAX/CD226/ITGAL/MMP7/CCR10/ENPP1/LRP6/P2RY1/CD40/TNFRSF10A/DSCAML1/CXCL10/PKD2L1/IL15/FCER2/IL2RG/TIGIT/ANTXR2/IL6ST/TGFB3/EGFL7/SDC2/CD209/LAG3/RAMP2/SRPX2/TNFRSF11A/PDGFRB/CD38/PDGFC/KRT4/BST2/F3/APOA1/EPHA5/CXCR4/CD83/CD69/RTP4/WNT4/IL27RA/CD1D/CX3CR1/TEK/SRPX/CD248/ADGRA2/PLVAP/NOTCH2/THBS1/CDH11/SLC3A2/ACHE/ANXA4/GFRA3/EPO/THBD/ERP44/CD200/LYZL6/TPBG/CX3CL1/BTNL10/TSPAN32/KISS1R/TDGF1/CEACAM6/SCARB1/PDIA3/NT5E/CEACAM8/INSR/SCNN1G/L1CAM/CALR/TGFB1/SCNN1B/ABCC2/CD63/SDC1/WNT1/HSPA5/KCNN2/TF/ITGB3/TNR/ABCB1/TFR2/EBI3/SELL/PROCR/EPCAM/ENG/LTF/ITGA8/LY6D/TREML2/TFPI/CCR7/CCRL2/CDH2/TSPEAR/LBP,203,CC
GO:0031012,GO:0031012,extracellular matrix,119/2183,212/6642,1.24768646942332e-12,2.94454006783904e-10,2.45597231349644e-10,FGF10/ELN/LEFTY2/CLEC3B/MMP1/ABI3BP/SPARCL1/PODNL1/COL6A5/FLG/C1QA/WNT5B/MMP28/ADAMTS2/C1QB/LRIG1/ADAMTS8/F13A1/VWF/CTSG/PTPRZ1/A2M/ECM2/RARRES2/RTN4RL1/C1QC/COMP/CTSS/MATN2/MMRN2/ICAM1/FBLN5/MMP9/WNT2/TNXB/COL4A3/NTN4/FGF9/CD180/NDNF/PRG2/EMID1/APOE/LAMB3/MYOC/SOD3/CHI3L1/COL5A3/CDON/KNG1/CCDC80/PODN/COL4A4/SERPINA1/MXRA5/MEPE/HRNR/MMP7/FBN1/MXRA7/LAMA2/VTN/CPN2/SBSPON/LAMC3/IGFBP7/MMP17/AEBP1/COL10A1/CASK/TGFB3/EGFL7/ADAMTS5/SDC2/SMOC2/MMP8/DCN/OMD/F3/COL12A1/APOA1/MATN3/LTBP2/COL11A1/WNT4/PF4/CD248/TGFBI/THBS1/EGFL6/ACHE/ANXA4/ELFN1/EMILIN3/WISP1/HSP90B1/ZP1/MMP2/LMAN1/HTRA1/COL23A1/L1CAM/LMAN1L/GPC2/TGM2/CALR/TGFB1/TNR/CLC/NOV/CCBE1/LOX/ADAMTS20/ZG16/LAMA1/CDH2/ANG/RELN/ALPL,119,CC
GO:0098797,GO:0098797,plasma membrane protein complex,132/2183,248/6642,1.30889722033771e-11,2.05933162666466e-09,1.71764056282913e-09,SCN1A/CDH19/RAMP3/HLA-F/LRRC38/ITGAD/GRIA4/GLRB/CACNA2D4/KCNMA1/KCNA4/C5/HLA-DMB/SCN1B/WNT3A/CACNB4/SCN9A/SCN2A/ABCC8/CDH15/KCNMB1/TLR2/C7/KCNJ5/FCER1G/KCNJ16/ATP6V0D2/CACNA1H/KCNQ3/CDH6/GRIK2/GNAL/TLR1/ATP12A/IGF1/HLA-A/TLR6/SCN7A/IL12RB1/HLA-B/LRRC55/SYK/NCF2/SCN11A/HLA-DQA1/KCNJ2/GRIN2C/GNA14/SNTB1/KCNAB1/FAS/ITGB2/GNA15/GJA4/ITGAM/KCNH2/CD4/KCNAB2/HLA-DOA/HLA-DPA1/KCNQ1/KCNIP3/CYBB/CUBN/ABCC9/KCNS2/CD74/HLA-DMA/HLA-DPB1/SCN4B/HLA-DRA/GJA3/ITGBL1/GJC1/CACNA2D2/KCNIP1/PDE4B/HLA-DRB1/ZAP70/KCNA3/ITGAX/ITGAL/CATSPERE/HLA-DRB5/SCN3A/LIN7A/VTN/FXYD2/LRP6/CD40/CACNA1C/NOXA1/NOS1AP/GABBR1/IL6ST/IRS1/CACNB1/RAMP2/ITGA9/GJC2/HCN4/CASP10/KCNIP4/HLA-DQB1/CACNA2D1/IL6/KCNQ4/BMPR1B/CDH11/CACNA2D3/CACNA1I/TSPAN32/HCN2/KCNJ6/INSR/KCNA6/TF/ITGB3/SHANK1/GNGT1/TFR2/EBI3/C8G/KCNH4/ITGA8/NCF1B/CDH2/INHA/KCNA7/PORCN/NCF1C/NCF1,132,CC
GO:0034703,GO:0034703,cation channel complex,61/2183,93/6642,8.09235346707206e-11,9.54897709114503e-09,7.96457946496039e-09,SCN1A/LRRC38/GRIA4/CACNA2D4/KCNMA1/KCNA4/SCN1B/CACNB4/SCN9A/SCN2A/ABCC8/KCNMB1/KCNJ5/KCNJ16/CACNA1H/KCNQ3/GRIK2/PKD1L3/SCN7A/LRRC55/SCN11A/KCNJ2/GRIN2C/KCNAB1/TRPC6/RYR2/KCNH2/KCNAB2/KCNQ1/KCNIP3/ABCC9/KCNS2/SCN4B/CACNA2D2/KCNIP1/PDE4B/KCNA3/CATSPERE/SCN3A/CACNA1C/PKD2L1/NOS1AP/CACNB1/HCN4/KCNIP4/CACNA2D1/KCNQ4/CACNA2D3/CALM1/CACNA1I/HCN2/HERPUD1/KCNJ6/SCNN1G/SCNN1B/KCNA6/SHANK1/KCNH4/TRPC5/KCNA7/PORCN,61,CC
GO:0062023,GO:0062023,collagen-containing extracellular matrix,88/2183,153/6642,2.07287114732856e-10,1.63065863589847e-08,1.36009440193137e-08,ELN/CLEC3B/ABI3BP/SPARCL1/COL6A5/FLG/C1QA/MMP28/ADAMTS2/C1QB/ADAMTS8/F13A1/VWF/CTSG/PTPRZ1/A2M/ECM2/C1QC/COMP/CTSS/MATN2/MMRN2/ICAM1/FBLN5/MMP9/TNXB/COL4A3/NTN4/FGF9/PRG2/APOE/LAMB3/SOD3/COL5A3/CDON/KNG1/CCDC80/PODN/COL4A4/SERPINA1/MXRA5/HRNR/FBN1/MXRA7/LAMA2/VTN/SBSPON/LAMC3/IGFBP7/AEBP1/COL10A1/CASK/TGFB3/EGFL7/ADAMTS5/SDC2/SMOC2/MMP8/DCN/OMD/F3/COL12A1/APOA1/LTBP2/COL11A1/PF4/TGFBI/THBS1/EGFL6/ACHE/ANXA4/EMILIN3/MMP2/LMAN1/HTRA1/L1CAM/LMAN1L/GPC2/TGM2/CALR/TGFB1/TNR/CLC/NOV/ADAMTS20/LAMA1/CDH2/ANG,88,CC
GO:0009897,GO:0009897,external side of plasma membrane,76/2183,133/6642,5.39899816089645e-09,3.18540891492891e-07,2.65687541075694e-07,IL12RB2/STAB2/CD28/TLR8/FCGR2B/CTLA4/TNFRSF14/FOLR2/KCNJ5/NRCAM/FCER1G/LILRB1/CD163L1/IL12RB1/RTN4RL1/IL1RL1/ICAM1/IGSF21/PECAM1/CD163/TLR4/CD36/GFRA2/FCRL6/ITGB2/CD86/CD14/ITGAM/WNT2/PTPRC/CD33/ASTN1/CD4/CD200R1/CUBN/CD74/CCR9/ADGRE1/ACE/CD34/ANTXR1/P2RY12/CD226/CCR10/CD40/CXCL10/FCER2/IL2RG/ANTXR2/IL6ST/CD209/LAG3/TNFRSF11A/F3/EPHA5/CXCR4/CD83/CD69/IL27RA/CX3CR1/CD248/THBS1/GFRA3/BTNL10/INSR/SCNN1G/CALR/SCNN1B/SDC1/TF/TFR2/EBI3/SELL/ENG/CCR7/CCRL2,76,CC
GO:1990351,GO:1990351,transporter complex,73/2183,128/6642,1.21619820345493e-08,6.37828391145255e-07,5.31997810634088e-07,SCN1A/LRRC38/GRIA4/GLRB/CACNA2D4/KCNMA1/KCNA4/SCN1B/CACNB4/SCN9A/SCN2A/ABCC8/KCNMB1/KCNJ5/KCNJ16/CACNA1H/KCNQ3/GRIK2/ATP12A/PKD1L3/SCN7A/LRRC55/SCN11A/KCNJ2/GRIN2C/GABRA4/KCNAB1/TRPC6/RYR2/KCNH2/KCNAB2/KCNQ1/KCNIP3/TTYH2/CUBN/ABCC9/KCNS2/BEST1/SCN4B/CACNA2D2/KCNIP1/CLIC2/PDE4B/KCNA3/CATSPERE/SCN3A/FXYD2/CACNA1C/PKD2L1/NOS1AP/CACNB1/GABRB1/HCN4/KCNIP4/CACNA2D1/GLRA2/KCNQ4/CACNA2D3/CALM1/CACNA1I/CLIC3/HCN2/HERPUD1/KCNJ6/SCNN1G/SCNN1B/KCNA6/SHANK1/KCNH4/TRPC5/ANO1/KCNA7/PORCN,73,CC
GO:0098552,GO:0098552,side of membrane,108/2183,215/6642,6.46791437324915e-08,3.0528555841736e-06,2.5463157637844e-06,IL12RB2/STAB2/HLA-F/CD28/TLR8/FCGR2B/CTLA4/TNFRSF14/CACNB4/FOLR2/KCNJ5/NRCAM/FCER1G/LILRB1/GNAL/HLA-A/CD163L1/IL12RB1/HLA-B/RTN4RL1/IL1RL1/RGS1/HLA-DQA1/ICAM1/IGSF21/PECAM1/CD163/TLR4/GNA14/CD36/LRRK2/KCNAB1/DTNA/GFRA2/FCRL6/ITGB2/GNA15/CD86/CD14/ITGAM/WNT2/PTPRC/HCK/CD33/ASTN1/CD4/KCNAB2/CD200R1/HLA-DPA1/CUBN/CD74/CCR9/ADGRE1/ACE/HLA-DPB1/CD34/HLA-DRA/KCNIP1/ANTXR1/HLA-DRB1/P2RY12/CD226/HLA-DRB5/CCR10/CD40/CXCL10/FCER2/IL2RG/ANTXR2/IL6ST/RASAL3/CD209/LAG3/TNFRSF11A/FGR/F3/EPHA5/CXCR4/CD83/CD69/PTK6/HLA-DQB1/IL27RA/CX3CR1/STAC2/CD248/RASA3/THBS1/EPB41/GFRA3/BTNL10/INSR/SCNN1G/CALR/SCNN1B/SDC1/TF/GNGT1/TFR2/EBI3/GEM/SELL/SRMS/ENG/SPTA1/CCR7/ANK1/CCRL2,108,CC
GO:0072562,GO:0072562,blood microparticle,31/2183,46/6642,1.60573555185223e-06,6.31227530953945e-05,5.26492186834914e-05,C1QB/C1R/F13A1/HBB/A2M/C1QC/HBG2/CFHR1/APOE/KNG1/HSPA6/PROS1/FCN3/APOL1/VTN/CPN2/CD5L/C1S/APOA1/C3/TMPRSS13/ACSM1/POTEE/CFHR3/TGFB1/TF/SLC4A1/C8G/ENG/APOA2/HBE1,31,CC
GO:0005788,GO:0005788,endoplasmic reticulum lumen,74/2183,143/6642,1.87733849593904e-06,6.32931264345164e-05,5.27913231188874e-05,PENK/SPARCL1/WNT3A/WNT5B/EDN1/SRL/SPP1/LIPC/COL4A3/CSF1/IGFBP4/FMO1/CES1/CD4/GAS6/PTPRN2/PDIA2/APOE/PRSS23/COL5A3/KNG1/COL4A4/SERPINA1/MEPE/APOL1/FBN1/VTN/IGFBP5/IGFBP7/COL10A1/ADAMTS5/SDC2/PDGFC/FAM20C/COL12A1/APOA1/MATN3/COL11A1/ARSJ/WNT4/IL6/THBS1/C3/ARSD/CALU/ERP44/MZB1/DNAJB11/ERO1A/HSP90B1/DNAJC3/FSTL3/PDIA3/EDEM2/MMP24-AS1-EDEM2/MYDGF/STS/COL23A1/SUMF2/CALR/PDIA6/APOA5/MANF/WNT1/HSPA5/TF/DNAJB9/EBI3/PPIB/HYOU1/SDF2L1/IL27/CDH2/APOA2,74,CC
GO:0008076,GO:0008076,voltage-gated potassium channel complex,26/2183,38/6642,7.38070511535966e-06,0.00021773080090311,0.000181604191654244,LRRC38/KCNMA1/KCNA4/KCNMB1/KCNJ5/KCNJ16/KCNQ3/LRRC55/KCNJ2/KCNAB1/KCNH2/KCNAB2/KCNQ1/KCNIP3/KCNS2/KCNIP1/KCNA3/NOS1AP/HCN4/KCNIP4/KCNQ4/HCN2/KCNJ6/KCNA6/KCNH4/KCNA7,26,CC
